lineage,group
AY.1,AY.1
AY.100,AY.100/AY.103/AY.104/AY.108/AY.109/AY.110/AY.111/AY.112/AY.112.1/AY.112.3/AY.113/AY.114/AY.116/AY.118/AY.119/AY.119.1/AY.119.2/AY.120/AY.120.1/AY.120.2/AY.120.2.1/AY.121/AY.121.1/AY.122/AY.122.1/AY.122.4/AY.123/AY.124/AY.124.1/AY.124.1.1/AY.125/AY.126/AY.127/AY.127.1/AY.128/AY.129/AY.13/AY.14/AY.16/AY.16.1/AY.20/AY.20.1/AY.22/AY.23/AY.23.2/AY.24/AY.25/AY.25.1/AY.26/AY.27/AY.28/AY.29/AY.3/AY.30/AY.32/AY.34/AY.34.1/AY.34.1.1/AY.34.2/AY.36/AY.36.1/AY.37/AY.38/AY.39/AY.39.2/AY.4/AY.4.10/AY.4.11/AY.4.13/AY.4.15/AY.4.3/AY.4.4/AY.4.5/AY.4.6/AY.4.7/AY.4.8/AY.4.9/AY.42/AY.42.1/AY.43/AY.43.6/AY.43.8/AY.43.9/AY.44/AY.45/AY.46/AY.46.2/AY.46.4/AY.46.5/AY.46.6/AY.47/AY.5/AY.5.1/AY.5.2/AY.5.3/AY.5.4/AY.5.5/AY.53/AY.54/AY.55/AY.58/AY.59/AY.6/AY.60/AY.61/AY.63/AY.65/AY.66/AY.7/AY.7.1/AY.7.2/AY.70/AY.71/AY.72/AY.73/AY.74/AY.75/AY.78/AY.80/AY.84/AY.85/AY.88/AY.9/AY.9.2/AY.9.2.2/AY.91/AY.91.1/AY.92/AY.94/AY.95/AY.98/AY.99/AY.99.2/B.1.617.2
AY.106,AY.106
AY.107,AY.107/AY.117/AY.3.1/AY.4.14/AY.4.16/AY.43.2/AY.43.3/AY.43.4/AY.75.2/AY.82
AY.122.6,AY.122.6
AY.131,AY.131
AY.133,AY.133
AY.33,AY.33
AY.33.2,AY.33.2
AY.35,AY.35
AY.39.1,AY.39.1/AY.69/AY.76
AY.4.1,AY.4.1
AY.4.2,AY.4.2/AY.4.2.1/AY.4.2.2/AY.4.2.3
AY.4.2.4,AY.4.2.4
AY.41,AY.41
AY.43.5,AY.43.5
AY.50,AY.50
AY.51,AY.51
AY.62,AY.62
AY.68,AY.68
AY.98.1,AY.98.1/AY.98.1.1
AZ.2,AZ.2/B.1.1.318/B.1.525
B,B/B.1/B.1.1/B.1.1.10/BA.1.1.17
B.1.1.317,B.1.1.317
B.1.1.523,B.1.1.523
B.1.1.529,B.1.1.529
B.1.1.7,B.1.1.7/Q.4
B.1.177,B.1.177/B.1.177.86
B.1.177.75,B.1.177.75
B.1.221,B.1.221
B.1.258,B.1.258
B.1.351,B.1.351/B.1.351.3
B.1.415.1,B.1.415.1
B.1.619,B.1.619/B.1.619.1
B.1.620,B.1.620
B.1.621,B.1.621/B.1.621.1
B.1.630,B.1.630
B.1.632,B.1.632
B.1.637.1,B.1.637.1
B.1.639,B.1.639
B.1.640,B.1.640/B.1.640.1
BA.1,BA.1/BA.1.10/BA.1.12/BA.1.13/BA.1.14.1/BA.1.15/BA.1.15.1/BA.1.15.3/BA.1.16/BA.1.16.2/BA.1.17/BA.1.17.2/BA.1.18/BA.1.19/BA.1.20/BA.1.21/BA.1.21.1/BA.1.5/BA.1.6/BA.1.8/BA.1.9
BA.1.1,BA.1.1/BA.1.1.1/BA.1.1.10/BA.1.1.11/BA.1.1.13/BA.1.1.14/BA.1.1.16/BA.1.1.18/BA.1.1.2/BA.1.1.3/BA.1.1.4/BA.1.1.8/BA.1.1.9
BA.1.1.12,BA.1.1.12
