,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4044794.5175216333,4044810.1638290295,4044825.301060337,4044839.351054076,4044852.0886447555,4044793.371535223,4044808.870060395,4044824.0203889483,4044838.2114429986,4044851.1788258785,4044792.3213335937,4044807.643075402,4044822.7526854873,4044837.016663075,4044850.1392904106,4044791.3597291512,4044806.490480304,4044821.525130007,4044835.8153703804,4044849.040336098,4044790.4779704167,4044805.412244572,4044820.3501158743,4044834.6340711904,4044847.922971738,4044789.667384325,4044804.4049060233,4044819.232282475,4044833.4869602066,4044846.811415647,4044788.919994226,4044803.4636046705,4044818.1721645454,4044832.381202289,4044845.719941347,4044788.228702609,4044802.5830791816,4044817.1681500105,4044831.319879959,4044844.6567831235,4044787.5872909017,4044801.758149882,4044816.2175551304,4044830.303689857,4044843.6264404133,4044786.9903474986,4044800.983941571,4044815.317222866,4044829.3319430416,4044842.6310757347,4044786.4331733654,4044800.255973014,4044814.4638566254,4044828.4031655537,4044841.6713822847,4044785.911686685,4044799.570178413,4044813.6542040575,4044827.5154634,4044840.7471324126,4044785.4223352605,4044798.922895084,4044812.885154683,4044826.6667456706,4044839.8575294134,4044784.962019509,4044798.3108355054,4044812.153787622,4044825.8548607165,4044839.001435573,4044784.5280262846,4044797.731053322,4044811.4573904625,4044825.0776783354,4044838.177521001
1,2021-07-02,4044501.6748761702,4044524.2619711035,4044546.9628906935,4044568.881628977,4044589.519428954,4044500.080336576,4044522.392327972,4044545.0353745925,4044567.096542246,4044588.0400044313,4044498.6212888574,4044520.6236341335,4044543.1330064135,4044565.2305073617,4044586.353965418,4044497.287129636,4044518.9660483226,4044541.2961737406,4044563.3599074995,4044584.5765327327,4044496.0652172966,4044517.4187477236,4044539.542787881,4044561.5258865757,4044582.774543879,4044494.9431350185,4044515.976065682,4044537.879070454,4044559.7500779047,4044580.9871174158,4044493.909524889,4044514.6304370235,4044536.305128937,4044558.0430428954,4044579.236999167,4044492.9543199567,4044513.3738250956,4044534.817930917,4044556.408968853,4044577.537037839,4044492.0687265946,4044512.198401934,4044533.41292491,4044554.848362085,4044575.8940010117,4044491.245111293,4044511.096852999,4044532.0849332944,4044553.3596271756,4044574.3108839826,4044490.4768596487,4044510.062491601,4044530.8286434766,4044551.9400084773,4044572.7883371594,4044489.758236566,4044509.0892776717,4044529.6388730197,4044550.586157147,4044571.325563843,4044489.084259136,4044508.1717901654,4044528.5107059954,4044549.2944737915,4044569.9208923886,4044488.4505856223,4044507.3051788975,4044527.4395556166,4044548.06131443,4044568.5721441978,4044487.853420518,4044506.4851093288,4044526.4211848434,4044546.883112175,4044567.2768715476
2,2021-07-03,4044207.5241449927,4044233.9976932635,4044260.878141907,4044287.2376521775,4044312.5036793775,4044205.689064594,4044231.8284505173,4044258.60929466,4044285.0989781166,4044310.6974144196,4044204.009008194,4044229.776987663,4044256.37208941,4044282.865999916,4044308.641397976,4044202.4719105684,4044227.8548876345,4044254.2138125314,4044280.6302627088,4044306.476801335,4044201.063353021,4044226.0610275124,4044252.155227656,4044278.4408283583,4044304.285275987,4044199.7691604886,4044224.388703728,4044250.203347628,4044276.3232826116,4044302.1143912855,4044198.5763600543,4044222.8290442172,4044248.358025429,4044274.289927822,4044299.9916165643,4044197.473448986,4044221.3726570806,4044246.615462006,4044272.3454498663,4044297.9323011967,4044196.450376269,4044220.01041323,4044244.9701121477,4044270.4901603563,4044295.9443732314,4044195.4984143153,4044218.7337946314,4044243.415730338,4044268.721892883,4044294.0311779375,4044194.6099985484,4044217.5350229423,4044241.9459430207,4044267.037129666,4044292.193228893,4044193.778568169,4044216.4070781963,4044240.5545551376,4044265.4316772316,4044290.429306308,4044192.99842125,4044215.34366447,4044239.235705815,4044263.9010724905,4044288.7371545928,4044192.2645881516,4044214.339152318,4044237.9839380584,4044262.4408250786,4044287.1139291106,4044191.572723224,4044213.388513459,4044236.7942197197,4044261.046559072,4044285.556483413
3,2021-07-04,4043916.4512388753,4043945.921650163,4043975.763891442,4044005.1159211514,4044033.4346933956,4043914.429191511,4043943.5425724275,4043973.2716922006,4044002.753312179,4044031.422940315,4043912.575547346,4043941.2912256094,4043970.8140165578,4044000.2871910315,4044029.1340585034,4043910.8775141207,4043939.180477174,4043968.442750464,4043997.8186515933,4044026.725458373,4043909.319624841,4043937.2092774105,4043966.180671404,4043995.401792567,4044024.2880698186,4043907.886600593,4043935.370447891,4043964.035471969,4043993.0647617895,4044021.8747666194,4043906.5644179266,4043933.6544139637,4043962.006993891,4043990.821038102,4044019.5159957176,4043905.3406169307,4043932.051010462,4043960.0910764886,4043988.67570038,4044017.228696397,4043904.204292327,4043930.5503407796,4043958.281646611,4043986.6290115085,4044015.0215494363,4043903.1459615836,4043929.1431607627,4043956.571864936,4043984.6785125225,4044012.898145825,4043902.1573957205,4043927.821022093,4043954.9547528275,4043982.820265394,4044010.8589395476,4043901.231449798,4043926.5762950266,4043953.4235279043,4043981.0495973206,4044008.9024708583,4043900.3619078947,4043925.4021327803,4043951.9717743085,4043979.36154726,4044007.0261420133,4043899.543347242,4043924.292410159,4043950.593518815,4043977.751131816,4044005.2267131656,4043898.771021719,4043923.2416534415,4043949.2832536036,4043976.2135002417,4044003.5006204713
4,2021-07-05,4043630.964495855,4043663.268187665,4043695.6779972496,4043727.4329624176,4043758.066932682,4043628.7619565353,4043660.7052911166,4043693.0072366204,4043724.903759498,4043755.9094808768,4043626.7394864843,4043658.2772737965,4043690.3718099487,4043722.26307511,4043753.454822004,4043624.8838747046,4043655.998382297,4043687.82739254,4043719.6190558947,4043750.871728672,4043623.1788724028,4043653.867878484,4043685.3985474305,4043717.0296083745,4043748.25767248,4043621.608316636,4043651.878385487,4043683.0936972173,4043714.5248961365,4043745.669316352,4043620.1573112835,4043650.0198959354,4043680.912849702,4043712.119398758,4043743.1392799113,4043618.812582148,4043648.2817174233,4043678.851710309,4043709.818612026,4043740.685705614,4043617.562484345,4043646.653402973,4043676.9039174463,4043707.62287835,4043738.317887473,4043616.396872567,4043645.125170882,4043675.0622702227,4043705.529625013,4043736.0396680376,4043615.306927759,4043643.688065316,4043673.319401193,4043703.5346926893,4043733.851531231,4043614.2849810296,4043642.3339862567,4043671.6681376277,4043701.633131293,4043731.751912939,4043613.324351401,4043641.0556557607,4043670.1016858444,4043699.819677659,4043729.7380318195,4043612.4192029433,4043639.846555698,4043668.61371458,4043698.0890401728,4043727.8064202094,4043611.5644218405,4043638.700855378,4043667.1983810626,4043696.4360649,4043725.9532645503
5,2021-07-06,4043343.145623644,4043378.1371036693,4043413.1351574752,4043447.334703708,4043480.2783996556,4043340.79154375,4043375.398371005,4043410.2854641923,4043444.6389941187,4043477.979252105,4043338.628840189,4043372.8023560178,4043407.4721969627,4043441.823600688,4043475.362958064,4043336.643662139,4043370.364520084,4043404.754854283,4043439.0037422357,4043472.6092690905,4043334.8188574063,4043368.084304497,4043402.15979348,4043436.2411769493,4043469.8220235244,4043333.1373170693,4043365.9540276974,4043399.696160686,4043433.568133418,4043467.0616129185,4043331.5832470125,4043363.9631642504,4043397.3641144536,4043431.000137921,4043464.362829671,4043330.1425561653,4043362.1004260057,4043395.159206234,4043428.543142536,4043461.7450497756,4043328.8028715597,4043360.354760658,4043393.074763755,4043426.197601275,4043459.2182242335,4043327.5534052425,4043358.715804893,4043391.10320178,4043423.960852911,4043456.786495071,4043326.3847732944,4043357.174060068,4043389.236741727,4043421.8285361202,4043454.4504233496,4043325.288810839,4043355.7209276636,4043387.4677992193,4043419.7954378747,4043452.2083846494,4043324.2584010656,4043354.348676059,4043385.789182782,4043417.856003203,4043450.057453907,4043323.2873243657,4043353.0503762914,4043384.1941846237,4043416.004639378,4043447.9939710433,4043322.3701283303,4043351.819826551,4043382.6766100316,4043414.2358938423,4043446.0139038214
6,2021-07-07,4043049.4107740447,4043086.5322854407,4043123.8405650095,4043160.369986692,4043195.589724486,4043046.9626536667,4043083.6547716805,4043120.8315360737,4043157.5161776813,4043193.151834829,4043044.714369394,4043080.9274982307,4043117.8609001194,4043154.535466943,4043190.377497395,4043042.651374877,4043078.3666973948,4043114.991509975,4043151.5498331813,4043187.457277606,4043040.7557080532,4043075.971760429,4043112.2512234296,4043148.6246790052,4043184.5012759226,4043039.009471735,4043073.734591437,4043109.6497203656,4043145.7941526016,4043181.5735402703,4043037.396154377,4043071.6441061976,4043107.1871854886,4043143.074720868,4043178.710982329,4043035.9010311873,4043069.6884202887,4043104.858934158,4043140.472712633,4043175.934169868,4043034.5111770863,4043067.855898945,4043102.6579298005,4043137.9886327274,4043173.2536770008,4043033.2153259213,4043066.135633415,4043100.57616876,4043135.6196843525,4043170.673917014,4043032.003680252,4043064.5176255614,4043098.605440865,4043133.361267426,4043168.1955041806,4043030.8677173364,4043062.9928250033,4043096.7377392296,4043131.2078771205,4043165.8167332327,4043029.8000100073,4043061.5530940485,4043094.96547053,4043129.1536439434,4043163.5345176137,4043028.7940687235,4043060.1911400156,4043093.2815512186,4043127.192656184,4043161.344989368,4043027.8442055276,4043058.9004357215,4043091.6794388434,4043125.319148645,4043159.2438840843
7,2021-07-08,4042744.4627863225,4042782.4995746478,4042821.4342137086,4042859.9460607143,4042897.3000387545,4042742.0348365023,4042779.560558962,4042818.310822418,4042856.9556692825,4042894.7304780097,4042739.8096242826,4042776.7783947065,4042815.2294688993,4042853.83354111,4042891.8069191766,4042737.7717976077,4042774.169203392,4042812.255291315,4042850.707581188,4042888.7303744475,4042735.902765782,4042771.731890598,4042809.416998986,4042847.6462869546,4042885.616941277,4042734.184149451,4042769.4577551577,4042806.7244026014,4042844.6853463664,4042882.5341164074,4042732.599070028,4042767.3351007407,4042804.177461126,4042841.8418959873,4042879.5207617055,4042731.1325242757,4042765.3514713678,4042801.771098022,4042839.1224439624,4042876.59849633,4042729.771376301,4042763.494718283,4042799.497819334,4042836.527400082,4042873.778399911,4042728.504200664,4042761.753479317,4042797.349151616,4042834.05372332,4042871.065058044,4042727.3210799415,4042760.1173603106,4042795.3164298073,4042831.6964936056,4042868.4590547625,4042726.213401472,4042758.5769666545,4042793.3912202283,4042829.449853617,4042865.9585334756,4042725.1736712335,4042757.1238620025,4042791.5655362858,4042827.307574235,4042863.5601865584,4042724.1953505836,4042755.750494566,4042789.831935911,4042825.263391593,4042861.2598877936,4042723.2727161753,4042754.450112127,4042788.1835518596,4042823.3112039,4042859.053097962
8,2021-07-09,4042446.0701062777,4042484.0772537845,4042523.474053814,4042562.805377887,4042601.2232574327,4042443.7006492564,4042481.1609748476,4042520.335966557,4042559.772383058,4042598.59797561,4042441.530245822,4042478.4019227508,4042517.241696549,4042556.607083026,4042595.6119422237,4042439.543627869,4042475.8158318796,4042514.256566118,4042553.4392585834,4042592.4707295205,4042437.7224229597,4042473.401361775,4042511.4092308143,4042550.3383064056,4042589.2929929732,4042436.0485154516,4042471.149655655,4042508.7093477286,4042547.3402901455,4042586.1476441864,4042434.505295451,4042469.0489210095,4042506.156688783,4042544.4624406444,4042583.0742948167,4042433.078015411,4042467.086645356,4042503.745988302,4042541.7112112152,4042580.0949222045,4042431.7537749023,4042465.250650151,4042501.4695751444,4042539.0868811645,4042577.2207326246,4042430.521361683,4042463.529561492,4042499.3188160784,4042536.586244448,4042574.4563022642,4042429.371049673,4042461.912985655,4042497.284904904,4042534.204204419,4042571.802127457,4042428.2943972084,4042460.391536603,4042495.359284719,4042531.934728273,4042569.2562209186,4042427.284062833,4042458.956791904,4042493.533862043,4042529.771419201,4042566.8151229816,4042426.3336440264,4042457.6012170827,4042491.8011024045,4042527.707856713,4042564.474547289,4042425.4375390047,4042456.3180792793,4042490.154058794,4042525.737794748,4042562.22979441
9,2021-07-10,4042147.050956091,4042185.238041631,4042225.124098847,4042265.172873157,4042304.472259466,4042144.707145932,4042182.3278990425,4042221.969945632,4042262.106273409,4042301.804803571,4042142.560461684,4042179.575112626,4042218.860424609,4042258.9064958305,4042298.7712900713,4042140.5957428906,4042176.995303492,4042215.8611410665,4042255.704777526,4042295.580695573,4042138.7947705733,4042174.587057688,4042213.0008223024,4042252.5712437253,4042292.3535975725,4042137.13959037,4042172.3414711305,4042210.289097314,4042249.5422930354,4042289.1599836634,4042135.613745802,4042170.2467215466,4042207.725665418,4042246.6352761625,4042286.040048378,4042134.2026290586,4042168.290278558,4042205.3051715884,4042243.856649124,4042283.016060382,4042132.8934643627,4042166.4599537943,4042203.0198524185,4042241.2066315934,4042280.0993437152,4042131.67514955,4042164.744369018,4042200.860986173,4042238.6819266574,4042277.294489246,4042130.538055324,4042163.133129902,4042198.819684864,4042236.277333293,4042274.601947672,4042129.4738250067,4042161.616852313,4042196.8873175317,4042233.986710874,4042272.019651993,4042128.475191819,4042160.1871173815,4042195.055724418,4042231.8035569224,4042269.544044953,4042127.535818969,4042158.8363952655,4042193.317312114,4042229.7213504096,4042267.1707347403,4042126.6501626642,4042157.557958388,4042191.6650813813,4042227.7337513077,4042264.8949147468
10,2021-07-11,4041845.2826770786,4041883.8445092966,4041924.3388533266,4041965.156728012,4042005.336528023,4041842.940100736,4041880.9223379176,4041921.157628618,4041962.0519216964,4042002.6268422296,4041840.7943931962,4041878.1581757613,4041918.0215490004,4041958.8124826695,4041999.5455155424,4041838.8304299037,4041875.567703834,4041914.9967685603,4041955.5712870504,4041996.3048753655,4041837.0300256107,4041873.1494991174,4041912.112242395,4041952.3993176213,4041993.027412912,4041835.3752554734,4041870.8946187277,4041909.377663585,4041949.333402476,4041989.784208423,4041833.8496880755,4041868.7911904426,4041906.792712297,4041946.3910828196,4041986.616068088,4041832.438736609,4041866.8266316466,4041904.3519734587,4041943.5788707016,4041983.545585289,4041831.1296428083,4041864.988703572,4041902.0476053692,4041940.896966612,4041980.584235689,4041829.9113190984,4041863.2659812123,4041899.8708019257,4041938.3420134773,4041977.7366570043,4041828.774148356,4041861.6480277004,4041897.8125911676,4041935.9087291677,4041975.0032837666,4041827.7097840905,4041860.1254206356,4041895.8642618814,4041933.5908827726,4041972.381995673,4041826.7109680725,4041858.689706916,4041894.0175793343,4041931.3818792454,4041969.8691612226,4041825.7713707164,4041857.333326152,4041892.2648810046,4041929.2751066717,4041967.460303596,4041824.885454324,4041856.049523528,4041890.59910445,4041927.264138016,4041965.150526804
11,2021-07-12,4041536.084352053,4041575.2441189345,4041616.5852130014,4041658.392995959,4041699.64421903,4041533.7221066603,4041572.2861708906,4041613.353966808,4041655.230605167,4041696.8779262253,4041531.558513781,4041569.4882579194,4041610.168635451,4041651.9311409052,4041693.7322879327,4041529.5782964206,4041566.866244606,4041607.096413017,4041648.6299478505,4041690.424080238,4041527.7630948196,4041564.4186804947,4041604.1667064447,4041645.399323889,4041687.0783561114,4041526.094815636,4041562.1365032517,4041601.389356414,4041642.276776126,4041683.7676779097,4041524.5568749104,4041560.007686098,4041598.7640328445,4041639.280166013,4041680.5336987167,4041523.13455164,4041558.019484161,4041596.2852303796,4041636.4161210516,4041677.399477214,4041521.814971043,4041556.159501655,4041593.9449791876,4041633.6848403052,4041674.3767219065,4041520.5869449223,4041554.416167481,4041591.734330276,4041631.082899662,4041671.47016078,4041519.4407693716,4041552.778911649,4041589.6441666204,4041628.6049146918,4041668.680231332,4041518.3680229755,4041551.2381918128,4041587.665636466,4041626.2445350406,4041666.004763444,4041517.36138267,4041549.7854474513,4041585.7903724257,4041623.995039898,4041663.4400448315,4041516.414462589,4041548.41302225,4041584.010588683,4041621.8496916704,4041660.9815008054,4041515.5216760193,4041547.1140758134,4041582.319109259,4041619.801941432,4041658.6241292767
12,2021-07-13,4041216.037182128,4041255.6766831386,4041297.9081283035,4041340.8319992507,4041383.318073167,4041213.665952108,4041252.6813326934,4041294.6167421117,4041337.5981740104,4041380.481547578,4041211.4955590875,4041249.849102835,4041291.372797736,4041334.224561759,4041377.25624416,4041209.510373243,4041247.1959162164,4041288.2447095206,4041330.8495927006,4041373.864492418,4041207.6917182556,4041244.720156533,4041285.262369131,4041327.54718783,4041370.4345368496,4041206.021232378,4041242.412511777,4041282.4357282566,4041324.3556730095,4041367.0407791613,4041204.482109458,4041240.260685706,4041279.764379543,4041321.2932771,4041363.7259164015,4041203.05944636,4041238.251672856,4041277.2426495985,4041318.3667394766,4041360.5135738994,4041201.7402194645,4041236.3728375635,4041274.86236186,4041315.5762270647,4041357.415736599,4041200.5131188873,4041234.6123933624,4041272.614349741,4041312.918204378,4041354.4372314825,4041199.368341002,4041232.959579423,4041270.4892824083,4041310.387134498,4041351.578486898,4041198.2973824064,4041231.404685435,4041268.478105448,4041307.9764960334,4041348.837258674,4041197.2928523794,4041229.9390034964,4041266.5722632776,4041305.6793919094,4041346.209722842,4041196.3483090107,4041228.554748091,4041264.7637974243,4041303.488910792,4041343.6911727116,4041195.458118978,4041227.244965494,4041263.0453746496,4041301.398336897,4041341.2764648832
