,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334081.294805,84334225.5710308,84334321.89138938,84334389.94704227,84334440.14429486,84334067.87610939,84334215.76928577,84334314.82480624,84334384.98688602,84334436.84425841,84334055.11791685,84334206.18743321,84334307.66124278,84334379.69226754,84334433.02470122,84334043.02461135,84334196.91905986,84334300.5577837,84334374.26814991,84334428.92855352,84334031.56913501,84334188.0018403,84334293.59803608,84334368.83249962,84334424.70073098,84334020.71186383,84334179.44466673,84334286.82528912,84334363.45420638,84334420.43004332,84334010.40947245,84334171.24153213,84334280.2600126,84334358.17338707,84334416.17180885,84334000.61910184,84334163.37890224,84334273.90951386,84334353.01279116,84334411.9606786,84333991.30024315,84334155.83972836,84334267.77345777,84334347.98446143,84334407.81821065,84333982.41548836,84334148.60565974,84334261.84710892,84334343.09374875,84334403.75749713,84333973.93071675,84334141.65826206,84334256.12327471,84334338.34179531,84334399.78607184,84333965.81500655,84334134.979675,84334250.59348582,84334333.7271028,84334395.90778051,84333958.04042086,84334128.55294862,84334245.24871813,84334329.24653906,84334392.12400846,84333950.58174567,84334122.36219487,84334240.07983366,84334324.89599234,84334388.43449931,84333943.41621925,84334116.39263237,84334235.0778466,84334320.67079999,84334384.83790857
1,2021-07-02,84332851.58891825,84333218.14225787,84333471.1672517,84333654.01800467,84333791.06814532,84332819.42469926,84333193.5387499,84333452.87725596,84333640.89935601,84333782.19994883,84332788.94934288,84333169.54997365,84333434.37232536,84333626.91597989,84333771.94583689,84332760.1565823,84333146.40467104,84333416.05831277,84333612.6117536,84333760.96128905,84332732.96658231,84333124.19039002,84333398.14905897,84333598.29849869,84333749.63672067,84332707.27157336,84333102.92264889,84333380.75337563,84333584.15724824,84333738.21077839,84332682.95698984,84333082.58019167,84333363.9209006,84333570.29249187,84333726.83155209,84332659.91119486,84333063.12360635,84333347.6673569,84333556.76263836,84333715.59130774,84332638.02970812,84333044.50538412,84333331.98895216,84333543.59778978,84333704.5470029,84332617.21674185,84333026.67540844,84333316.87080559,84333530.8104396,84333693.73281495,84332597.38542293,84333009.58393382,84333302.29197498,84333518.40207666,84333683.1680072,84332578.45739457,84332993.18315676,84333288.22849232,84333506.3673451,84333672.86198375,84332560.36215116,84332977.42798749,84333274.6552058,84333494.69670622,84333662.81760174,84332543.03628631,84332962.27636567,84333261.5468927,84333483.37816188,84333653.03337665,84332526.42274429,84332947.68931839,84333248.87892106,84333472.39837778,84333643.50496994
2,2021-07-03,84331218.40731984,84331846.15412022,84332292.86518055,84332622.48736472,84332873.28296031,84331166.34309457,84331804.60452665,84332261.08251613,84332599.22176635,84332857.31539026,84331117.15260251,84331764.18321554,84332228.9810844,84332574.45394018,84332838.86899172,84331070.80247487,84331725.26707213,84332197.26477312,84332549.1511351,84332819.12824005,84331027.14296626,84331687.99344674,84332166.30105726,84332523.86594506,84332798.79762213,84330985.9822596,84331652.37848136,84332136.27392432,84332498.91746558,84332778.30673991,84330947.12046756,84331618.37721129,84332107.26441486,84332474.48836371,84332757.92124866,84330910.36496928,84331585.91514823,84332079.29491082,84332450.67937313,84332737.80583745,84330875.53683312,84331554.90522915,84332052.35431994,84332427.54106316,84332718.06143124,84330842.472926,84331525.25697836,84332026.41276577,84332405.09293482,84332698.74790025,84330811.0259549,84331496.88141137,84332001.4303133,84332383.33518691,84332679.89830805,84330781.06356096,84331469.69356452,84331977.36220886,84332362.25611027,84332661.52805796,84330752.4670311,84331443.61368674,84331954.16203621,84332341.83680531,84332643.64087749,84330725.12991033,84331418.56767581,84331931.78360447,84332322.05422479,84332626.23279607,84330698.95665242,84331394.48709345,84331910.18205406,84332302.88314846,84332609.29482253
3,2021-07-04,84329276.13432328,84330178.04936916,84330838.2723687,84331335.0763876,84331718.48694597,84329205.34848945,84330119.27096868,84330792.07870495,84331300.59802027,84331694.47726615,84329138.62769617,84330062.19843489,84330745.49187611,84331263.93512651,84331666.76295862,84329075.89947948,84330007.35293674,84330699.53288123,84331226.5245547,84331637.13081774,84329016.93650836,84329954.91558751,84330654.73027898,84331189.18451464,84331606.64215073,84328961.45802705,84329904.89668277,84330611.34474544,84331152.38514209,84331575.94271837,84328909.17577545,84329857.2213872,84330569.4872322,84331116.39351338,84331545.43054655,84328859.81433442,84329811.77456208,84330529.18383572,84331081.35503083,84331515.35123667,84328813.11934741,84329768.4246749,84330490.41260016,84331047.34082909,84331485.85426465,84328768.85993746,84329727.03661352,84330453.12491927,84331014.37623444,84331457.02733502,84328726.82838686,84329687.47845714,84330417.2581986,84330982.45827001,84331428.91791968,84328686.83859843,84329649.62489562,84330382.7434203,84330951.56663232,84331401.54707031,84328648.72409643,84329613.3587729,84330349.50966834,84330921.67067525,84331374.91844392,84328612.3359414,84329578.57158135,84330317.48680991,84330892.73389897,84331349.02429165,84328577.54073657,84329545.16337857,84330286.60704397,84330864.71685076,84331323.84948203
4,2021-07-05,84327085.53644265,84328260.12196141,84329142.99995723,84329819.71725419,84330349.06518598,84326998.1774574,84328184.82570352,84329082.2898149,84329773.55626462,84330316.46875599,84326915.99554555,84328111.83502232,84329021.14388093,84329724.52043849,84330278.87066644,84326838.87303354,84328041.80388896,84328960.90134586,84329674.53744055,84330238.70373845,84326766.50478669,84327974.94947183,84328902.2502211,84329624.7017168,84330197.41121198,84326698.52376014,84327911.27094856,84328845.52512756,84329575.63927378,84330155.86944172,84326634.55730243,84327850.65997791,84328790.86385213,84329527.70322937,84330114.61696297,84326574.25170816,84327792.95826471,84328738.29317081,84329481.08352487,84330073.98464254,84326517.28181562,84327737.98809564,84328687.77743772,84329435.87078224,84330034.1725558,84326463.35351074,84327685.56857814,84328639.24676265,84329392.094594,84329995.2968808,84326412.2029343,84327635.52412044,84328592.6136222,84329349.74703765,84329957.41927907,84326363.59426099,84327587.68862866,84328547.78273708,84329308.79739034,84329920.56571923,84326317.31697425,84327541.90732163,84328504.65694337,84329269.20146748,84329884.73876143,84326273.18308656,84327498.03722472,84328463.14064072,84329230.9076059,84329849.92569613,84326231.02451444,84327455.94694574,84328423.14175674,84329193.86051476,84329816.10400112
5,2021-07-06,84324701.6938496,84326136.35913529,84327242.24400459,84328104.96064356,84328788.57960753,84324600.464057,84326045.95704438,84327167.5425033,84328047.13795523,84328747.19392236,84324505.38647991,84325958.44767812,84327092.39288336,84327985.77042098,84328699.49021412,84324416.2971886,84325874.60163179,84327018.43979718,84327923.27700114,84328648.56531802,84324332.81873453,84325794.66395122,84326946.52234189,84327861.02734192,84328596.25427563,84324254.50592467,84325718.61891975,84326877.04339206,84327799.80159357,84328543.66923584,84324180.91066793,84325646.32340321,84326810.16361429,84327740.03694972,84328491.49173036,84324111.60986112,84325577.57608853,84326745.9076805,84327681.96592216,84328440.1387951,84324046.21596175,84325512.15403284,84326684.2242862,84327625.69676463,84328389.86109047,84323984.37941483,84325449.83196433,84326625.02086842,84327571.26164341,84328340.80273224,84323925.78734283,84325390.3922533,84326568.18400513,84327518.64617582,84328293.0387539,84323870.1606564,84325333.62975433,84326513.59149282,84327467.80787984,84328246.59908617,84323817.25064418,84325279.35381173,84326461.11948407,84327418.68785553,84328201.48418792,84323766.83555123,84325227.38870436,84326410.64664418,84327371.21824701,84328157.67538713,84323718.71737726,84325177.57325207,84326362.05648905,84327325.3270274,84328115.14180207
6,2021-07-07,84322161.84256138,84323838.13988623,84325161.91364738,84326212.22725847,84327054.90953262,84322049.45454828,84323734.33964485,84325074.09713218,84326143.07218556,84327004.76244849,84321944.03362225,84323633.98313166,84324985.84505558,84326069.73793578,84326946.99539304,84321845.37267993,84323537.9404676,84324899.0872793,84325995.12202673,84326885.36958411,84321753.03104451,84323446.4773379,84324814.80226074,84325920.86099827,84326822.11136875,84321666.49652083,84323359.5610515,84324733.45426074,84325847.88346767,84326758.56768832,84321585.25699791,84323277.01432785,84324655.22284551,84325776.70669724,84326695.56183228,84321508.83087592,84323198.59490222,84324580.12837292,84325707.60287748,84326633.59569827,84321436.7782943,84323124.03736593,84324508.10277916,84325640.69577603,84326572.96925204,84321368.70338815,84323053.07512443,84324439.03043224,84325576.01856731,84326513.85334545,84321304.2524746,84322985.45163079,84324372.77206528,84325513.5492462,84326456.33528352,84321243.11055644,84322920.9257461,84324309.17889076,84325453.23270886,84326400.44796683,84321184.9973064,84322859.27386735,84324248.10089698,84325394.99470265,84326346.18886739,84321129.66308604,84322800.2902894,84324189.39164248,84325338.75071335,84326293.5325652,84321076.88524644,84322743.78662871,84324132.91091995,84325284.4116439,84326242.43912533
7,2021-07-08,84319498.93635453,84321394.04993685,84322926.20429865,84324161.94706404,84325165.41775715,84319377.9801472,84321278.72050036,84322826.39692,84324082.02720256,84325106.72456673,84319264.6375278,84321167.33279322,84322726.18582194,84323997.3403786,84325039.15076636,84319158.66405696,84321060.83940126,84322627.76061916,84323911.23965758,84324967.10785733,84319059.56698187,84320959.52048038,84322532.2252196,84323825.61459216,84324893.20452626,84318966.77979104,84320863.32571933,84322440.09777877,84323741.5336277,84324819.01647812,84318879.73891611,84320772.04583412,84322351.57296333,84323659.58861773,84324745.504538,84318797.91600761,84320685.40109977,84322266.66519152,84323580.08793463,84324673.25241974,84318720.8295734,84320603.08770674,84322185.28930932,84323503.16864131,84324602.60714991,84318648.04702689,84320524.80195616,84322107.30705592,84323428.86354613,84324533.76463687,84318579.18242477,84320450.25253075,84322032.5542116,84323357.14221461,84324466.82318668,84318513.89245549,84320379.16625692,84321960.85655093,84323287.93649983,84324401.81770241,84318451.87192024,84320311.2902999,84321892.0391743,84323221.15663993,84324338.74192993,84318392.8492922,84320246.39242314,84321825.9318624,84323156.70148735,84324277.56313649,84318336.5826116,84320184.2602281,84321762.37201725,84323094.46502437,84324218.23190378
8,2021-07-09,84316733.34507316,84318823.07053457,84320551.79327247,84321968.49761625,84323132.46150938,84316606.02150828,84318698.01503485,84320441.19472352,84321878.49775402,84323065.54627644,84316486.80160056,84318577.337814,84320330.23696335,84321783.19280113,84322988.545663,84316375.41106856,84318462.05873714,84320221.34252076,84321686.36314923,84322906.4987011,84316271.31672566,84318352.46782866,84320115.72661872,84321590.13480285,84322822.38245428,84316173.91030754,84318248.49778776,84320013.95413767,84321495.70610791,84322737.99246582,84316082.58891025,84318149.91049732,84319916.23160847,84321403.73751946,84322654.42121881,84315996.78858286,84318056.39308476,84319822.56653216,84321314.57001767,84322572.33029135,84315915.99622123,84317967.6080593,84319732.85698836,84321228.3519055,84322492.11107849,84315839.7514212,84317883.21935737,84319646.9431508,84321145.11454202,84322413.98270005,84315767.6438507,84317802.90545256,84319564.63731408,84321064.81860934,84322338.05320124,84315699.30883098,84317726.3654245,84319485.74148221,84320987.38287279,84322264.35863422,84315634.42242406,84317653.32118362,84319410.05761191,84320912.7022817,84322192.88845576,84315572.69663566,84317583.51762094,84319337.39345199,84320840.65944548,84322123.60226607,84315513.8749972,84317516.72167446,84319267.56571724,84320771.13192183,84322056.44096065
9,2021-07-10,84313880.66639234,84316140.27074593,84318052.22326542,84319643.73394625,84320966.33808759,84313748.74500577,84316007.15352319,84317932.0398683,84319544.40230206,84320891.59671856,84313625.28194252,84315878.78661282,84317811.54868454,84319439.27735528,84320805.63008396,84313509.98100895,84315756.24414718,84317693.3784332,84319332.53569005,84320714.07613719,84313402.2795569,84315639.82282157,84317578.8419789,84319226.52180272,84320620.26301625,84313301.53898697,84315529.43989636,84317468.54433893,84319122.55343233,84320526.19528311,84313207.12786461,84315424.8321937,84317362.70126599,84319021.35351148,84320433.09015734,84313118.4564477,84315325.65839486,84317261.31292433,84318923.29215898,84320341.68259394,84313034.98875257,84315231.55228983,84317164.26145415,84318828.52709074,84320252.40543593,84312956.24425718,84315142.15033087,84317071.36697121,84318737.08741923,84320165.49912712,84312881.79500313,84315057.1054138,84316982.42013825,84318648.9247953,84320081.08025843,84312811.26087774,84314976.09317975,84316897.20119096,84318563.94515714,84319999.18531092,84312744.30441436,84314898.81424671,84316815.49097484,84318482.02867934,84319919.79905814,84312680.62573533,84314824.99425368,84316737.07720108,84318403.04239434,84319842.87326524,84312619.95790645,84314754.38277125,84316661.7578139,84318326.84818672,84319768.33913028
